,Price,Area,Mặt tiền,Số phòng ngủ,Hướng ban công,Tình trạng pháp lý,Hướng nhà,Số tầng,Bồn cầu,City,District,Name
179,5250.0,42,None,4.0,None,None,None,4.0,1.0,Hà Nội,Quận Thanh Xuân,Bán Nhà riêng tại Đường Nguyễn Trãi
184,11800.0,75,5m,None,None,None,None,5.0,None,Hà Nội,Quận Thanh Xuân,Bán Nhà mặt phố tại Phố Vũ Tông Phan
185,Thỏa thuận,1057,26m,None,None,None,None,None,None,Hà Nội,Huyện Chương Mỹ,Bán Đất tại Đường 21
186,3500.0,30,3m,3.0,None,Sổ đỏ,None,5.0,1.0,Hà Nội,Quận Đống Đa,Bán Nhà riêng tại Đường Thịnh Quang
187,26980.0,65,None,None,None,None,None,None,None,Hà Nội,Quận Đống Đa,Bán Nhà riêng tại Đường Nguyên Hồng
188,4350.0,38,None,3.0,None,Sổ đỏ,None,None,None,Hà Nội,Quận Đống Đa,Bán Nhà riêng tại Đường Thịnh Quang
189,8900.0,78,None,None,None,None,None,None,None,Hà Nội,Quận Đống Đa,Bán Nhà riêng tại Phố Xã Đàn
190,26980.0,65,None,None,None,None,None,None,None,Hà Nội,Quận Đống Đa,Bán Nhà riêng tại Đường Huỳnh Thúc Kháng
191,8600.0,40,None,None,None,None,None,None,None,Hà Nội,Quận Đống Đa,Bán Nhà riêng tại Phố Thái Hà
192,8400.0,68,None,None,None,None,None,None,None,Hà Nội,Quận Đống Đa,Bán Nhà riêng tại Phố Thái Thịnh
193,7000.0,42,None,None,None,None,None,None,None,Hà Nội,Quận Cầu Giấy,Bán Nhà riêng tại Phố Trung Kính
194,14800.0,55,None,None,None,None,None,None,None,Hà Nội,Quận Cầu Giấy,Bán Nhà riêng tại Phố Trung Kính
195,9000.0,70,None,None,None,None,None,None,None,Hà Nội,Quận Cầu Giấy,Bán Nhà riêng tại Phố Trung Kính
196,3900.0,33,None,None,None,None,None,None,None,Hà Nội,Quận Cầu Giấy,Bán Nhà riêng tại Phố Trung Kính
197,5800.0,48,None,None,None,None,None,None,None,Hà Nội,Quận Thanh Xuân,Bán Nhà riêng tại Phố Khương Hạ
198,4500.0,30,None,None,None,None,None,None,None,Hà Nội,Quận Thanh Xuân,Bán Nhà riêng tại Phố Khương Hạ
199,"4,8",33,None,None,None,None,None,None,None,Hà Nội,Quận Thanh Xuân,Bán Nhà riêng tại Đường Bùi Xương Trạch
200,4200.0,42,None,None,None,None,None,None,None,Hà Nội,Quận Thanh Xuân,Bán Nhà riêng tại Đường Khương Đình
201,6000.0,58,None,None,None,None,None,None,None,Hà Nội,Quận Thanh Xuân,Bán Nhà riêng tại Đường Khương Đình
202,78000.0,356,None,None,None,Sổ đỏ,Nam,None,None,Hà Nội,Quận Ba Đình,Bán Nhà riêng tại Đường Giang Văn Minh
