id,date,exp_date,house_direction,balcony_direction,bedroom,toilet,legit,furniture,floor,facade,entrance,city,district,ward,street,area,price
batdongsan_com_vn_35579113,25/11/2022,02/12/2022,None,None,5,5,Sổ đỏ/ Sổ hồng,Nội thất cao cấp,5,4 m,16,Hà Nội,Đống Đa,Phường Ô Chợ Dừa,Phố Đông Các,50.0,10500.0
batdongsan_com_vn_33333446,22/11/2022,29/11/2022,None,None,4,4,Sổ đỏ/ Sổ hồng,Nội thất cơ bản,4,4 m,20,Hà Nội,Hai Bà Trưng,Phường Bạch Mai,Phố Bạch Mai,85.0,17200.0
batdongsan_com_vn_29048887,26/11/2022,06/12/2022,None,None,None,None,None,,None,None,None,Hà Nội,Long Biên,Phường Việt Hưng,Đường Hoa Lan 1,315.0,59000.0
batdongsan_com_vn_35890578,20/11/2022,30/11/2022,None,None,None,None,Sổ đỏ/ Sổ hồng,,None,4 m,35,Hà Nội,Hoài Đức,Thị trấn Trạm Trôi,Đường 32,60.0,7390.0
batdongsan_com_vn_35842563,26/11/2022,04/12/2022,None,None,None,None,Sổ đỏ/ Sổ hồng,,None,5 m,None,Hà Nội,Hoàng Mai,Phường Lĩnh Nam,Đường Thúy Lĩnh,40.0,1800.0
batdongsan_com_vn_35884886,26/11/2022,03/12/2022,Tây - Bắc,Đông - Nam,3,2,None,,None,None,None,Hà Nội,Thanh Xuân,Phường Nhân Chính,Đường Khuất Duy Tiến,100.0,3000.0
batdongsan_com_vn_35867054,26/11/2022,03/12/2022,Tây - Nam,Tây - Nam,5,None,Sổ đỏ/ Sổ hồng,,5,5 m,23,Hà Nội,Hà Đông,Phường Dương Nội,Đường Tố Hữu,90.0,13000.0
batdongsan_com_vn_35959811,26/11/2022,03/12/2022,None,None,None,None,None,,None,None,None,Hà Nội,Ba Đình,Phường Liễu Giai,Đường Văn Cao,50.0,11500.0
batdongsan_com_vn_33476922,23/11/2022,30/11/2022,None,None,3,2,Sổ đỏ/ Sổ hồng,,None,None,None,Hà Nội,Nam Từ Liêm,Phường Phú Đô,None,83.0,3590.0
batdongsan_com_vn_35959801,26/11/2022,04/12/2022,None,None,3,3,Sổ đỏ/ Sổ hồng,Cơ bản,4,None,None,Hà Nội,Thanh Xuân,Phường Khương Đình,Đường Khương Đình,75.0,6000.0
batdongsan_com_vn_35548201,24/11/2022,01/12/2022,None,None,3,4,Sổ đỏ/ Sổ hồng,,5,None,None,Hà Nội,Đống Đa,Phường Láng Hạ,Đường Đê La Thành,32.0,3680.0
batdongsan_com_vn_35714343,21/11/2022,28/11/2022,None,None,4,None,Sổ đỏ/ Sổ hồng,,4,4.6 m,3.5,Hà Nội,Thanh Xuân,Phường Khương Trung,Đường Hoàng Văn Thái,40.0,8500.0
batdongsan_com_vn_35893010,21/11/2022,28/11/2022,None,None,3,None,Sổ đỏ/ Sổ hồng,,6,None,None,Hà Nội,Thanh Xuân,Phường Nhân Chính,Phố Nhân Hòa,46.0,6500.0
batdongsan_com_vn_33537918,26/11/2022,03/12/2022,None,None,None,None,Sổ đỏ,,None,4 m,None,Hà Nội,Hoài Đức,Xã An Thượng,None,50.0,1500.0
batdongsan_com_vn_34575494,18/11/2022,28/11/2022,None,None,3,2,None,"Bàn giao nội thất cao cấp: Trần thạch cao, sàn gỗ công nghiệp, thiết bị vệ sinh đầy đủ, có bình nóng lạnh, đầu chờ điều hòa.",None,None,None,Hà Nội,Long Biên,Phường Bồ Đề,Đường Nguyễn Văn Cừ,83.0,3900.0
batdongsan_com_vn_35841392,22/11/2022,29/11/2022,None,None,2,2,Sổ đỏ/ Sổ hồng,,None,None,None,Hà Nội,Thanh Xuân,Phường Khương Đình,Phố Vũ Tông Phan,65.0,2600.0
batdongsan_com_vn_35754020,22/11/2022,29/11/2022,Tây - Bắc,Đông - Nam,3,2,None,,None,None,None,Hà Nội,Thanh Xuân,Phường Khương Trung,Đường Khương Trung,92.0,3250.0
batdongsan_com_vn_35959781,26/11/2022,03/12/2022,None,None,None,None,None,,None,None,None,Hà Nội,Ba Đình,Phường Liễu Giai,Phố Vạn Phúc,45.0,12800.0
batdongsan_com_vn_35925611,22/11/2022,29/11/2022,Tây - Bắc,Đông - Nam,2,2,Sổ đỏ.,Full,None,None,None,Hà Nội,Thanh Xuân,Phường Thanh Xuân Trung,Đường Nguyễn Huy Tưởng,99.0,3500.0
batdongsan_com_vn_35917914,22/11/2022,29/11/2022,Tây - Bắc,Đông - Nam,2,2,Sổ đỏ/ Sổ hồng,Full.,None,None,None,Hà Nội,Thanh Xuân,Phường Nhân Chính,Phố Hoàng Đạo Thúy,80.0,3490.0
batdongsan_com_vn_35917604,22/11/2022,29/11/2022,Tây - Bắc,Đông - Nam,3,2,Sổ đỏ/ Sổ hồng,,None,None,None,Hà Nội,Thanh Xuân,Phường Nhân Chính,Phố Hoàng Đạo Thúy,85.0,3800.0
batdongsan_com_vn_35689264,24/11/2022,01/12/2022,Tây - Bắc,None,6,6,Sổ đỏ/ Sổ hồng.,Nội thất cực đẹp.,6,5 m,20,Hà Nội,Hà Đông,Phường Quang Trung,Phố Lý Thường Kiệt,50.0,10000.0
batdongsan_com_vn_35841656,22/11/2022,29/11/2022,Tây - Bắc,Đông - Nam,2,2,Sổ đỏ/ Sổ hồng,Full.,None,None,None,Hà Nội,Thanh Xuân,Phường Kim Giang,Đường Kim Giang,65.0,2800.0
batdongsan_com_vn_35814684,22/11/2022,29/11/2022,Tây - Bắc,Đông - Nam,3,2,Sổ đỏ/ Sổ hồng,Full.,None,None,None,Hà Nội,Thanh Xuân,Phường Kim Giang,Đường Kim Giang,104.0,3860.0
batdongsan_com_vn_35824016,22/11/2022,29/11/2022,Tây - Bắc,Đông - Nam,3,2,Sổ đỏ/ Sổ hồng,Full,None,None,None,Hà Nội,Thanh Xuân,Phường Kim Giang,Đường Kim Giang,104.0,3800.0
batdongsan_com_vn_35919408,22/11/2022,29/11/2022,Tây - Bắc,Đông - Nam,3,2,None,Full.,None,None,None,Hà Nội,Cầu Giấy,Phường Trung Hòa,Phố Hoàng Đạo Thúy,117.0,3500.0
batdongsan_com_vn_35930105,23/11/2022,30/11/2022,None,None,3,2,Sổ đỏ/ Sổ hồng,Full.,None,None,None,Hà Nội,Cầu Giấy,Phường Trung Hòa,Phố Hoàng Đạo Thúy,120.0,3300.0
batdongsan_com_vn_35959766,26/11/2022,03/12/2022,None,None,None,None,None,,None,None,None,Hà Nội,Hoàng Mai,Phường Hoàng Liệt,None,70.0,2000.0
batdongsan_com_vn_35848619,26/11/2022,03/12/2022,None,None,5,4,Sổ đỏ/ Sổ hồng,Full nội thất sang chảnh như ảnh.,4,12 m,13,Hà Nội,Bắc Từ Liêm,Phường Cổ Nhuế 1,Đường Phạm Văn Đồng,190.0,46000.0
batdongsan_com_vn_35834616,22/11/2022,29/11/2022,None,None,None,None,Sổ đỏ/ Sổ hồng,,None,None,None,Hà Nội,Cầu Giấy,Phường Trung Hòa,Đường Trần Duy Hưng,1300.0,315000.0
batdongsan_com_vn_35848283,24/11/2022,01/12/2022,Tây - Nam,Đông - Bắc,10,10,Sổ đỏ/ Sổ hồng,Full nội thất cao cấp.,8,5.5 m,None,Hà Nội,Cầu Giấy,Phường Trung Hòa,Đường Trần Duy Hưng,115.0,31800.0
batdongsan_com_vn_34218477,21/11/2022,29/11/2022,None,None,None,None,Sổ đỏ/ Sổ hồng,,1,5 m,None,Hà Nội,Thanh Xuân,Phường Khương Trung,Đường Trường Chinh,130.0,33000.0
batdongsan_com_vn_35701234,24/11/2022,01/12/2022,Tây - Bắc,None,6,7,Sổ đỏ/ Sổ hồng,Cơ bản của tòa văn phòng,7,6 m,60,Hà Nội,Tây Hồ,Phường Bưởi,Đường Võ Chí Công,150.0,77800.0
batdongsan_com_vn_35957535,26/11/2022,03/12/2022,Đông - Nam,Tây - Nam,1,1,Sổ đỏ/ Sổ hồng,Cơ bản,None,None,None,Hà Nội,Huyện Gia Lâm,None,None,43.0,1330.0
batdongsan_com_vn_35621014,24/11/2022,01/12/2022,Đông - Bắc,None,3,3,Sổ đỏ/ Sổ hồng,Cơ bản.,3,6 m,30,Hà Nội,Tây Hồ,Phường Thụy Khuê,Đường Thụy Khuê,130.0,36000.0
batdongsan_com_vn_34544286,22/11/2022,30/11/2022,None,None,3,None,Sổ đỏ/ Sổ hồng,,3,6.5 m,None,Hà Nội,Hai Bà Trưng,Phường Trương Định,Phố Đại La,265.0,85000.0
batdongsan_com_vn_35368141,22/11/2022,29/11/2022,None,None,6,5,Sổ đỏ/ Sổ hồng.,,5,4.5 m,None,Hà Nội,Đống Đa,Phường Trung Tự,Phố Chùa Bộc,110.0,52500.0
batdongsan_com_vn_34291377,26/11/2022,03/12/2022,None,None,4,3,"Sổ đỏ chính chủ,",,4,None,None,Hà Nội,Hà Đông,Phường Kiến Hưng,Đường Mậu Lương,35.0,3050.0
batdongsan_com_vn_35586798,24/11/2022,01/12/2022,None,None,8,6,Sổ đỏ/ Sổ hồng,Đầy đủ.,7,4.6 m,30,Hà Nội,Thanh Xuân,Phường Thanh Xuân Nam,Đường Triều Khúc,80.0,22500.0
