,Price,Area,Facade,Building Line,Floors,Bedrooms,Pulish Time,Type,ID,Toilets,Direction,District
7099,112000,56.0,4.0,4.0,5,6,22/08/2022,Tin thường,batdongsan_so_com_vn_1670500352.8775647,5,,None
7101,35500,44.0,5.0,2.0,5,3,22/08/2022,Tin thường,batdongsan_so_com_vn_1670500354.7318802,4,,None
7105,59000,100.0,7.0,2.0,1,1,22/08/2022,Tin thường,batdongsan_so_com_vn_1670500359.5448651,None,,Bắc Từ Liêm
7106,30000,30.0,3.0,5.0,5,3,22/08/2022,Tin thường,batdongsan_so_com_vn_1670500360.594015,5,,Long Biên
7107,60000,50.0,5.0,6.0,1,2,22/08/2022,Tin thường,batdongsan_so_com_vn_1670500361.6172776,None,,None
7108,127000,65.0,4.0,7.0,4,5,22/08/2022,Tin thường,batdongsan_so_com_vn_1670500362.4670057,4,,None
7109,33800,33.0,4.0,8.0,6,5,22/08/2022,Tin thường,batdongsan_so_com_vn_1670500363.6239572,6, Tây bắc,None
7110,67000,47.0,3.0,2.0,5,3,22/08/2022,Tin thường,batdongsan_so_com_vn_1670500364.61229,4,,None
7112,110000,60.0,4.0,4.0,5,7,22/08/2022,Tin thường,batdongsan_so_com_vn_1670500370.9857798,5,,None
7113,160000,100.0,9.0,3.0,5,6,22/08/2022,Tin thường,batdongsan_so_com_vn_1670500372.0778997,6,,None
7115,34000,36.0,3.0,2.0,5,3,21/08/2022,Tin thường,batdongsan_so_com_vn_1670500374.7836242,3,,None
7120,57000,30.0,5.0,3.0,5,4,21/08/2022,Tin thường,batdongsan_so_com_vn_1670500400.0257986,5,,None
7122,47000,38.0,4.0,2.0,6,3,21/08/2022,Tin thường,batdongsan_so_com_vn_1670500406.7194457,None,,None
7128,118000,65.0,7.0,3.0,7,18,21/08/2022,Tin thường,batdongsan_so_com_vn_1670500421.6486075,18,,None
7130,75000,48.0,4.0,4.0,None,None,21/08/2022,Tin thường,batdongsan_so_com_vn_1670500426.9707096,None,,None
7134,255000,112.0,14.0,10.0,4,4,21/08/2022,Tin thường,batdongsan_so_com_vn_1670500431.9832597,5,,None
7136,91000,60.0,4.0,4.0,6,5,21/08/2022,Tin thường,batdongsan_so_com_vn_1670500435.064466,4,,None
7137,85000,60.0,4.0,6.0,5,6,21/08/2022,Tin thường,batdongsan_so_com_vn_1670500436.3051484,None,,None
7138,91000,60.0,4.0,4.0,6,5,21/08/2022,Tin thường,batdongsan_so_com_vn_1670500457.5734127,4,,None
7139,225000,41.0,3.0,20.0,5,6,21/08/2022,Tin thường,batdongsan_so_com_vn_1670500458.866304,5,,None
7142,1690000,500.0,20.0,50.0,5,15,21/08/2022,Tin thường,batdongsan_so_com_vn_1670500461.8417425,15,,None
7143,65000,45.0,4.0,3.0,5,4,21/08/2022,Tin thường,batdongsan_so_com_vn_1670500462.861885,5,,None
7145,38000,40.0,7.0,3.0,3,3,21/08/2022,Tin thường,batdongsan_so_com_vn_1670500466.145688,3,,None
7146,42000,42.0,6.0,2.0,2,2,21/08/2022,Tin thường,batdongsan_so_com_vn_1670500467.262694,2,,None
